graphical_culture = SouthAmericanGC
	end_date = 2000.1.1

	ideology = conservative

	citizenship_policy = residency
	economic_policy = interventionism
	religious_policy = moralism
	trade_policy = free_trade
	war_policy = pro_military
}

party = {
	name = "ARG_liberal_4"
	start_date = 1891.1.1
	end_date = 2000.1.1

	ideology = liberal

	citizenship_policy = limited_citizenship
	economic_policy = interventionism
	religious_policy = secularized
	trade_policy = free_trade
	war_policy = jingoism
}

party = {
	name = "ARG_reactionary"
	start_date = 1680.1.1
	end_date = 2000.1.1

	ideology = reactionary

	citizenship_policy = residency
	economic_policy = state_capitalism
	religious_policy = moralism
	trade_policy = protectionism
	war_policy = jingoism
}

party = {
	name = "ARG_anarcho_liberal"
	start_date = 1710.1.1
	end_date = 2000.1.1

	ideology = anarcho_liberal

	citizenship_policy = full_citizenship
	economic_policy = laissez_faire
	religious_policy = pro_atheism
	trade_policy = free_trade
	war_policy = pro_military
}

party = {
	name = "ARG_communist"
	start_date = 1848.1.1
	end_date = 2000.1.1

	ideology = communist

	citizenship_policy = full_citizenship
	economic_policy = planned_economy
	religious_policy = pro_atheism
	trade_policy = protectionism
	war_policy = pro_military
}

party = {
	name = "ARG_fascist"
	start_date = 1900.1.1
	end_date = 2000.1.1

	ideology = fascist

	citizenship_policy = residency
	economic_policy = state_capitalism
	religious_policy = moralism
	trade_policy = protectionism
	war_policy = jingoism
}

party = {
	name = "GEN_nationalsyndicalist"
	start_date = 1905.1.1
	end_date = 2000.1.1

	ideology = nationalsyndicalist

	citizenship_policy = residency
	economic_policy = planned_economy
	religious_policy = moralism
	trade_policy = protectionism
	war_policy = pro_militar
}

party = {
	name = "GEN_agrarist"
	start_date = 1800.1.1
	end_date = 2000.1.1

	ideology = agrarism

	citizenship_policy = residency
	economic_policy = agrarism
	religious_policy = pro_atheism
	trade_policy = free_trade
	war_policy = pacifism
}

party = {
	name = "GEN_theocratic"
	start_date = 1000.1.1
	end_date = 2000.1.1

	ideology = theocratic

	citizenship_policy = residency
	economic_policy = state_capitalism
	religious_policy = moralism
	trade_policy = free_trade
	war_policy = pro_militar
}
unit_names= {
	dreadnought = {
		"Alvear" "Argentina" "General Rosas" "Moreno" "Paz" "Presidente Avellaneda" "R�o de la Plata" "Rivadavia" "San Mart�n" "Urquiza" 
		"Yrigoyen"
	}
	ironclad = {
		"Almirante Brown" "Bouchard" "Campichuelo" "Cepeda" "De las Heras" "Federaci�n" "Huamit�" "Independencia" "J�piter" "Lavalle"
		"Libertad" "Marte" "Mercurio" "Neptuno" "Pav�n" "Plut�n" "Salado" "Salta" "Suipacha" "Thomas"
	}
	manowar = {
		"Am�rica" "Aqu�les" "Argentina" "Argonauta" "Furor" "H�roe" "Libertador" "Navegante" "Perla Negra" "R�o de la Plata"
		"Salvador" "San Bernardo" "San Claudio" "San Honorato" "San Joaqu�n" "Santa Ana" "Santa Mar�a" "Santiago" "Terror" "Victoriosa"
	}
	cruiser = {
		"Almirante Brown" "�lvarez Jonte" "Belgrano" "Buenos Aires" "Castelli" "Chichlana" "Garibaldi" "G�emes" "Liniers" "Matheu"
		"Mitre" "Nueve de Julio" "Paso" "Patagonia" "Patria" "Pueyrred�n" "Roca" "San Mart�n" "Sarratea" "Veinticinco de Mayo"
	}
	frigate = {
		"Azopardo" "Cervantes" "Espora" "Garay" "H�rcules" "Hero�na" "La Argentina" "La Libertad" "Murillo" "Parker"
		"Piedra Buena" "Presidente Sarmiento" "Rep�blica" "Robinson" "Rondeau" "Rosales" "Saavedra" "Sant�sima Trinidad" "Sarand�" "Spiro"
	}
	monitor = {
		"El Plata" "Formosa" "Gran Chaco" "La Pampa" "Lago Argentino" "Los Andes" "Mesopotamia" "Posadas" "Rawson" "Resistencia"
		"San Fernando del Valle" "San Miguel" "San Salvador" "Santa Rosa" "Sirena" "Somuncur�" "Tetis" "Trit�n" "Viedma" "Vulcano"
	}
	clipper_transport = { 
		"�guila" "Apolo" "Atl�ntida" "Audaz" "Ceres" "C�ndor" "Cruel" "Delf�n" "Eolo" "Esperanza"
		"F�nix" "Fidela" "Flora" "Hera" "Iris" "Lanza" "Minerva" "Minotauro" "Movimiento" "Odisea"
		"Platense" "Proserpina" "Providencia" "Prueba" "Puma" "Rayo" "Rel�mpago" "Salvadora" "San Jos�" "San Juan Bautista"
		"Santa Mar�a" "Servidora" "Temeraria" "Tibur�n" "Tranquila" "Triunfo" "Ul�ses" "Veloz" "Victoria" "Voladora"
	}
	steam_transport = { 
		"�guila" "Apolo" "Atl�ntida" "Audaz" "Ceres" "C�ndor" "Cruel" "Delf�n" "Eolo" "Esperanza"
		"F�nix" "Fidela" "Flora" "Hera" "Iris" "Lanza" "Minerva" "Minotauro" "Movimiento" "Odisea"
		"Platense" "Proserpina" "Providencia" "Prueba" "Puma" "Rayo" "Rel�mpago" "Salvadora" "San Jos�" "San Juan Bautista"
		"Santa Mar�a" "Servidora" "Temeraria" "Tibur�n" "Tranquila" "Triunfo" "Ul�ses" "Veloz" "Victoria" "Voladora"
	}
	commerce_raider = {
		"Bermejo" "Catamarca" "Constituci�n" "C�rdoba" "Corrientes" "Entrerr�os" "Jujuy" "La Plata" "La Rioja" "Mendoza"
		"Misiones" "Paran�" "Pilcomayo" "Rosario" "San Juan" "San Luis" "Santa Cruz" "Sol Argentino" "Tucum�n" "Uruguay"
	}
}
