AI_FEARS_US_TITLE1;$TAG_0_0_UPPER$ FEARS OUR MIGHT!;;$TAG_0_0_upper$ FÜRCHTET UNSERE MACHT!;;¡$TAG_0_0_UPPER$ LE TEME A NUESTRA FUERZA!;;;;;;;;x;
AI_FEARS_OTHER_DESC1_LONG;A recent article in a $TAG_0_0_ADJ$ newspaper startled their nation! A detailed analysis of their chilly relations with $TAG_0_1$ and a comparison of their relative military strengths led the editor to the conclusion that both countries might soon find themselves in a state of war, and when that day comes, $TAG_0_0$'s very existence might be threatened. The elite and the commoners alike, the citizens of $TAG_0_0$ demand their government to seek alliances to diminish the unavoidable threat the $TAG_0_1_ADJ$ pose.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ und ein Vergleich der militärischen Stärken brachte den Herausgeber zu dem Schluss, dass beide Länder sich bald im Kriegszustand befinden könnten. Sollte dieser Tag kommen, wäre die Existenz $TAG_0_0$s gefährdet. Alle Bürger von $TAG_0_0$, Adel wie auch Bürgerliche, fordern ihre Regierung auf, Bündnisse einzugehen, um die $TAG_0_1_ADJ$e Bedrohung einzudämmen.;;¡Un artículo reciente en un periódico de $TAG_0_0$ sobresalta su nación! Un detallado análisis de las frías relaciones con $TAG_0_1$ y una cuidadosa comparacion de sus fuerzas militares llevó al editor a la conclusión de que ambos paises podrían encontrarse pronto en un estado de guerra, y cuando llegue ese día, la existencia misma de $TAG_0_0$ podria estar amenazada. La élite y los plebeyos por igual, los ciudadanos de $TAG_0_0$ demandan a su gobierno la busqueda de una alianza con una gran potencia para disminuir la amenaza inevitable que supone $TAG_0_1$.;;;;;;;;x;
AI_FEARS_OTHER_DESC1_MEDIUM;A recent article in a $TAG_0_0_ADJ$ newspaper startled their nation! A detailed analysis of their chilly relations with $TAG_0_1$ led the editor to the conclusion that absent new guarantees, both countries might soon find themselves in the state of war.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ brachte den Herausgeber zu dem Schluss, dass beide Länder sich bald im Kriegszustand befinden könnten.;;¡Un artículo reciente en un periódico de $TAG_0_0$ sobresalta su nación! Un detallado analisis de las frias relaciones con $TAG_0_1$  llevó al editor a la conclusión que en ausencia de nuevas garantias, ambos paises podrían encontrarse pronto en estado de guerra.  ;;;;;;;;x;
AI_FEARS_OTHER_DESC1_SHORT;A recent article in a $TAG_0_0_ADJ$ newspaper startled their nation! Analysis of their chilly relations with $TAG_0_1$ led to the conclusion that war might be unavoidable.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;¡Un artículo reciente en un periódico de $TAG_0_0$ sobresalta su nación! Un detallado analisis de las frias relaciones con $TAG_0_1$ llevó al editor a la conclusión de que la guerra entre ambos paises es inevitable.;;;;;;;;x;
AI_FEARS_OTHER_TITLE2;The $TAG_0_0_ADJ$ fear;;Die $TAG_0_0_ADJ$e Angst;;El temor de $TAG_0_0$ ;;;;;;;;x;
AI_FEARS_OTHER_DESC2_LONG;According to reports from the inner circles of the $TAG_0_0_ADJ$ government, the prevalent mood of all top officials is one of deep apprehension and fear. Many predict that rivalries between $TAG_0_1$ and them will spark an international conflict, one which $TAG_0_0$ might well lose. Therefore, it is rumoured they are considering the possibility that war might come to their doorstep, and are making concrete preparations should this happen. Fear seems to also be spreading to the population, who expect the worst: A cruel defeat.;;Laut Meldungen aus dem Führungszirkel der $TAG_0_0_ADJ$en Regierung, überwiegt in Regierungskreisen eine Stimmung der Sorge und Angst. Viele befürchten, dass die Rivalitäten mit $TAG_0_1$ einen internationalen Konflikt auslösen könnten, den $TAG_0_0$ sehr wohl verlieren könnte. Gerüchten zufolge wird die Möglichkeit des Krieges vor ihrer Tür erwogen und es werden entsprechende Vorbereitungen getroffen. Angst breitet sich auch in der Bevölkerung aus, die mit dem Schlimmsten rechnet: einer grausamen Niederlage.;;En concordancia con informes provinientes de circulos internos del gobierno de $TAG_0_0$, el estado de ánimo predominante de todos los altos funcionarios es de profundo miedo y preocupación. Muchos predicen que las rivalidades entre $TAG_0_1$ y ellos provocará un conflicto internacional, uno que $TAG_0_0$ podría perder. Por lo tanto, se rumorea que están considerando la posibilidad de que la guerra podría llegar a sus puertas, y están haciendo preparativos concretos por si esto sucede. El miedo parece también extenderse a la población, que esperan lo peor: una cruel derrota.;;;;;;;;x;
AI_FEARS_OTHER_DESC2_MEDIUM;The mood of $TAG_0_0_ADJ$ officials is one of frightful apprehension when it comes to the actions of $TAG_0_1$. Being ever watchful of their actions, many fear that an eventual war between both countries will result in a cruel defeat to $TAG_0_0$.;;Die Stimmung unter $TAG_0_0_ADJ$en Offiziellen ist angesichts der Aktionen von $TAG_0_1$ von Angst und Sorge geprägt. Viele befürchten einen möglichen Krieg zwischen beiden Ländern, der mit der grausamen Niederlage von $TAG_0_0$ enden könnte.;;El estado de animo de los oficiales de $TAG_0_0$  es uno de profundo miedo y preocupación cuando se trata de las acciones de $TAG_0_1$. Muchos temen que una eventual guerra entre ambos países se traducirá en una cruel derrota $TAG_0_0_ADJ$.;;;;;;;;x;
AI_FEARS_OTHER_DESC2_SHORT;Through local press reports, it seems the $TAG_0_0_ADJ$ population and government are suffering from a widespread fear of $TAG_0_1$'s military power. More on page 4.;;Lokale Pressestimmen melden die weitverbreitete Angst der $TAG_0_0_ADJ$en Bevölkerung und Regierung vor der militärischen Stärke von $TAG_0_1$. Mehr dazu auf Seite 4.;; A través de la prensa local, parece que la población y el gobierno de $TAG_0_0_ADJ$ sufren un miedo generalizado debido al poderio militar de $TAG_0_1$ . Más en la página 4.;;;;;;;;x;
AI_LOVES_US_TITLE1;$TAG_0_0$: Our best friend;;$TAG_0_0$: Unser bester Freund;;$TAG_0_0$: Nuestro mejor amigo.;;;;;;;;x;
AI_LOVES_US_DESC1_LONG;Have you ever considered fellow $TAG_0_0_ADJ$ citizens your best friends? Perhaps. However, it certainly seems they consider us as a target, not to fight against, but to befriend! A series of diplomats and envoys in our capital have been outspoken in their support for an alliance between our two great nations, should war break out. 'It is no wonder that we must pledge support to each other in these troubled times. When everyone around you is at each other's throats, a friend in need is a friend indeed!' said a diplomat in an interview.;;Sehen Sie $TAG_0_0_ADJ$e Bürger als Ihre besten Freunde an? Vielleicht. Scheinbar sehen diese uns jedoch als Ziel, doch nicht als Kriegsziel, sondern als Verbündete! Diplomaten und Abgesandte beschwören in unserer Hauptstadt ein Bündnis unserer beiden Großmächte herauf, falls ein Krieg ausbrechen sollte. 'In diesen schweren Zeiten ist es unsere Pflicht, uns gegenseitig zu unterstützen. Wenn sich alle um einen herum gegenseitig an die Kehle wollen, sind Freunde unerlässlich.' sagte ein Diplomat in einem Interview.;;¿Alguna vez ha considerado a los colegas cuidadanos de $TAG_0_0$ como tus mejores amigos? Quizas. Sin embargo, ciertamente parece que nos consideran como un objetivo, no para luchar, ¡sino para entablar amistad! Una serie de diplomaticos y enviados especiales han estado en nuestra capital y han sido muy francos en su apoyo a una alianza entre nuestras dos grandes naciones. 'No es de extrañar que debamos apoyarnos mutuamente en estos tiempos difíciles. Cuando todos a tu alrededor están en la garganta del otro, un amigo en necesidad es un amigo de verdad!' dijo un diplomático en una entrevista.;;;;;;;;x;
AI_LOVES_US_DESC1_MEDIUM;$TAG_0_0_ADJ$ diplomats in our capital are outspoken in their support for an alliance between our two great nations. According to governmental sources, relations between us and them are at an all time high and may even lead to a mutual pledge of military support soon.;;$TAG_0_0_ADJ$e Diplomaten betonen in unserer Hauptstadt ihren Wunsch eines Bündnisses unserer beiden Größmächte. Regierungskreise bezeichnen die Beziehungen als hervorragend, was bald zu einer gegenseitigen Verpflichtung zur militärischen Unterstützung führen könnte.;;Diplomáticos de $TAG_0_0_$ en nuestra capital muestran abiertamente su apoyo a una alianza entre nuestras dos grandes naciones. Según fuentes gubernamentales, las relaciones entre nosotros y ellos están en su punto más alto y puede incluso conducir a un compromiso mutuo de apoyo militar pronto.;;;;;;;;x;
AI_LOVES_US_DESC1_SHORT;The relations between the $TAG_0_0_ADJ$ government and ours have never been better. Political analysts say that they consider us as a potential ally and friend for peace and war.;;Die Beziehungen zwischen der $TAG_0_0_ADJ$ Regierung und uns könnten besser nicht sein. Laut politischen Analysten sehen sie uns als möglichen Verbündeten und Freund im Krieg und Frieden.;;Las relaciones entre el gobierno de $TAG_0_0$  y el nuestro nunca han sido mejores. Los analistas políticos dicen que nos consideran como un aliado y amigo en tiempos de paz y guerra.;;;;;;;;x;
AI_LOVES_US_TITLE2;$TAG_0_0$ stands with us!;;$TAG_0_0$ steht an unserer Seite!;;¡$TAG_0_0$ está de nuestro lado!;;;;;;;;x;
AI_LOVES_US_DESC2_LONG;An article in a $TAG_0_0_ADJ$ newspaper paints a picture of amiable relations between our countries. Calling on numerous examples of peaceful cooperation based on trust and friendship, the editor declared both our nations to stand as friends and brothers. Using words like 'trustworthy', 'reliable' and 'steadfast' to describe our relations, the newspaper encouraged $TAG_0_0$'s government to continue aligning themselves with our policies to pursue common interests and goals, and to strengthen mutual guarantees and assurances.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen zwischen unseren Ländern. Unter Aufzählung mehrerer Beispiele friedlicher, auf Vertrauen und Freundschaft basierender Kooperation, sieht der Herausgeber uns als Freunde und Brüder. Mit Worten wie 'vertrauenswürdig', 'zuverlässig' und 'standhaft' umschreibt die Zeitung unsere Beziehungen und ruft die Regierung von $TAG_0_0$ dazu auf, diese weiter auszubauen, um gemeinsame Interessen und Ziele zu verfolgen und den gegenseitigen Rückhalt zu stärken.;;Un artículo en un periódico de $TAG_0_0$ pinta un panorama de las relaciones amistosas entre nuestros paises. Apelando a numerosos ejemplos de cooperación pacífica basada en la confianza y la amistad, el editor anunció a nuestras naciones como amigas y hermanas. Usando palabras como 'dignas de confianza', 'fiables' y 'firmes' para describir las relaciones, el periódico alentó al gobierno de $TAG_0_0$ a continuar con la alianza alineándose con las políticas de $TAG_0_1$ a continuar alineándose con las políticas de $TAG_0_1$ para perseguir intereses y objetivos comunes, y para reforzar las garantías y seguridades mutuas.;;;;;;;;x;
AI_LOVES_US_DESC2_MEDIUM;An article in a $TAG_0_0_ADJ$ newspaper paints a picture of amiable relations between our countries. Calling on numerous examples of peaceful cooperation based on trust and friendship, the editor declared both our nations to stand as friends and brothers.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen zwischen unseren Ländern. Unter Aufzählung mehrerer Beispiele friedlicher, auf Vertrauen und Freundschaft basierender Kooperation, sieht der Herausgeber uns als Freunde und Brüder.;;Un artículo en un periódico de $TAG_0_0$ pinta un panorama de las relaciones amistosas entre nuestros paises. Apelando a numerosos ejemplos de cooperación pacífica basada en la confianza y la amistad, el editor anunció a nuestras naciones como amigas y hermanas.;;;;;;;;x;
AI_LOVES_US_DESC2_SHORT;An article in a $TAG_0_0_ADJ$ newspaper paints a picture of amiable relations between our nations. Editor encouraged their government to continue aligning themselves with our policies.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen zwischen unseren Ländern. Herausgeber ruft ihre Regierung dazu auf, diese weiter auszubauen.;;Un artículo en un periódico de $TAG_0_0$ pinta un panorama de las relaciones amistosas entre nuestros paises. El editor animó a su gobierno a seguir alineándose con nuestras políticas.;;;;;;;;x;
AI_LOVES_US_TITLE3;$TAG_0_0$ knows its place!;;$TAG_0_0$ nicht übermütig!;;¡$TAG_0_0$ conoce su lugar!;;;;;;;;x;
AI_LOVES_US_DESC3_LONG;"Common sense is the order of the day in $TAG_0_0$, as their government and people continue to be enamoured with all things $OURCOUNTRY_ADJ$. In the political, military and cultural spheres, our obviously apparent superiority is readily acknowledged by the snivelling wretches. The $TAG_0_0_ADJ$ foreign minister, in a shameful attempt to ingratiate himself with our elites, said ""We welcome the paternal and guiding hand of $OURCOUNTRY_ADJ$. Long may our countries' friendship continue, to our mutual benefit"". Whether that will be the case remains to be seen.";;"Gesunder Menschenverstand herrscht in $TAG_0_0$, wo Regierung und Bevölkerung alles $OURCOUNTRY_ADJ$e hoch schätzen. Diese wehleidigen Schufte erkennen nur allzu gerne unsere offensichtliche Überlegenheit in allen politischen, militärischen und kulturellen Belangen an. Auf schamlose Weise biedert sich der $TAG_0_0_ADJ$e Außenminister unseren Eliten an und sagt ""Wir begrüßen die väterliche und wegweisende $OURCOUNTRY_ADJ$e Hand. Möge die Freundschaft unserer Länder ewig zum gegenseitigen Vorteil währen."" Es bleibt abzuwarten, ob dies der Fall sein wird.";;El sentido común está a la orden del día en $TAG_0_0$, ya que su gobierno y el pueblo siguen enamorados de todas las cosas de $OURCOUNTRY$. En el ámbito político, militar y cultural, nuestra evidente superioridad se reconoce fácilmente por los infelices llorones. El ministro de asuntos exteriores de $TAG_0_0$, en un vergonzoso intento de congraciarse con las elites, dijo: 'Les damos la bienvenida a la mano paternal y rectora de $OURCOUNTRY$. Que la amistad entre nuestros paises continúe, para nuestro mútuo beneficio'. Si ese será el caso aún está por verse.;;;;;;;;x;
AI_LOVES_US_DESC3_MEDIUM;Common sense is the order of the day in the $TAG_0_0_ADJ$ capital, as their government and people continue to be enamoured with all things $OURCOUNTRY_ADJ$. In the political, military and cultural spheres, our obvious superiority is acknowledged by the wretches.;;Gesunder Menschenverstand herrscht in der $TAG_0_0_ADJ$en Hauptstadt, wo Regierung und Bevölkerung alles $OURCOUNTRY_ADJ$e hoch schätzen. Diese Schufte erkennen nur allzu gern unsere offensichtliche Überlegenheit in allen politischen, militärischen und kulturellen Belangen an.;;El sentido común está a la orden del día en $TAG_0_0$, ya que su gobierno y el pueblo siguen enamorados de todas las cosas de $OURCOUNTRY$. En el ámbito político, militar y cultural, nuestra evidente superioridad se reconoce fácilmente por los infelices.;;;;;;;;x;
AI_LOVES_US_DESC3_SHORT;The $TAG_0_0_ADJ$ government and people continue to be enamoured with $OURCOUNTRY$. In all spheres, our obvious superiority is readily acknowledged.;;$TAG_0_0_ADJ$e Regierung und Bevölkerung schätzen weiterhin alles $OURCOUNTRY_ADJ$e sehr. Nur allzu gern erkennen sie unsere offensichtliche Überlegenheit in allen Belangen an.;;La gente y el gobierno de $TAG_0_0J$ continuan enamorados de $OURCOUNTRY$. En todos los ámbitos, nuestra superioridad es evidente y se reconoce facilmente. ;;;;;;;;x;
AI_LOVES_OTHER_TITLE1;$TAG_0_0$'s relations;;$TAG_0_0$s Beziehungen;;La relaciones de $TAG_0_0$;;;;;;;;x;
AI_LOVES_OTHER_DESC1_LONG;An article in a $TAG_0_0_ADJ$ newspaper paints a picture of their amiable relations with $TAG_0_1$. Calling on numerous examples of peaceful cooperation based on trust and friendship, the editor declared both nations to stand as friends and brothers. Using words like 'trustworthy', 'steadfast' and 'reliable' to describe their relations, the newspaper encouraged $TAG_0_0$'s government to continue aligning themselves with $TAG_0_1$'s policies to pursue common interests, and to strengthen mutual guarantees and assurances.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen mit $TAG_0_1$. Unter Aufzählung mehrerer Beispiele friedlicher, auf Vertrauen und Freundschaft basierender Kooperation, sieht der Herausgeber beide Nationen als Freunde und Brüder. Mit Worten wie 'vertrauenswürdig', 'zuverlässig' und 'standhaft' umschreibt die Zeitung die Beziehungen und ruft die Regierung von $TAG_0_0$ dazu auf, diese weiter mit $TAG_0_1$ auszubauen, um gemeinsame Interessen zu verfolgen und den gegenseitigen Rückhalt zu stärken.;;Un artículo en un periódico de $TAG_0_0$ pinta un panorama de las relaciones amistosas con $TAG_0_1$. Apelando a numerosos ejemplos de cooperación pacífica basada en la confianza y la amistad, el editor anunció a nuestras naciones como amigas y hermanas. Usando palabras como 'dignas de confianza', 'fiables' y 'firmes' para describir las relaciones, el periódico alentó al gobierno de $TAG_0_0$ a continuar con la alianza alineándose con las políticas de $TAG_0_1$ a continuar alineándose con las políticas de $TAG_0_1$ para perseguir intereses y objetivos comunes, y para reforzar las garantías y seguridades mutuas.;;;;;;;;x;
AI_LOVES_OTHER_DESC1_MEDIUM;An article in a $TAG_0_0_ADJ$ newspaper paints a picture of their amiable relations with $TAG_0_1$. Calling on numerous examples of peaceful cooperation based on trust and friendship, the editor declared both nations to stand as friends and brothers.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen mit $TAG_0_1$. Unter Aufzählung mehrerer Beispiele friedlicher Kooperation, sieht der Herausgeber beide Nationen als Freunde und Brüder.;;Un artículo en un periódico de  $TAG_0_0$ pinta un panorama de las relaciones amistosas con $TAG_0_1$. Apelando a numerosos ejemplos de cooperación pacífica basada en la confianza y la amistad, el editor anunció a nuestras naciones como amigas y hermanas.;;;;;;;;x;
AI_LOVES_OTHER_DESC1_SHORT;An article in a $TAG_0_0_ADJ$ newspaper paints a picture of their great relations with $TAG_0_1$. The editor called on the league with $TAG_0_1$ to be maintained.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der guten Beziehungen mit $TAG_0_1$. Der Herausgeber empfiehlt, den Bund mit $TAG_0_1$ aufrecht zu erhalten.;;Un artículo en un periódico de  $TAG_0_0$ pinta un panorama de las relaciones amistosas con $TAG_0_1$. El editor pidio mantener las relaciones con $TAG_0_1$ ;;;;;;;;x;
AI_LOVES_OTHER_TITLE2;$TAG_0_0_ADJ$-$TAG_0_1_ADJ$ relations;;$TAG_0_0_ADJ$-$TAG_0_1_ADJ$e Beziehungen;;Relaciones entre $TAG_0_0$ y $TAG_0_1$;;;;;;;;x;
