KEYNAME;TEXT;;TEXT;;TEXTO;;;;;;;;;x
some_fake_1836_3;First use of general anaesthesia in an operation, surgeon in USA puts patient to sleep for tumour removal.;;Erster Einsatz von Anästhesie bei Operation, Arzt in den USA läßt Patienten Tumor-Entfernung verschlafen.;;Primer uso de anestesia general en una operación, cirujano en EEUU induce el sueño a un paciente para la extracción de un tumor.;;;;;;;;;x
some_fake_1836_title_4;Code words;;Codewörter;;Palabras en clave;;;;;;;;;x
some_fake_1836_4;World’s first electrical telegraph message sent in USA by Samuel Morse in the USA.;;Erste elektr. telegrafische Nachricht der Welt von Samuel Morse in den USA gesendet.;;El primer mensaje telegráfico eléctrico enviado por Samuel Morse en los EEUU.;;;;;;;;;x
some_fake_1836_title_5;Philatelists rejoice!;;Philatelisten jauchzet!;;Filatelistas se regocijan;;;;;;;;;x
some_fake_1836_5;Postage stamp introduced in the United kingdom, known as “Penny Black” it features a picture of the young Queen, Victoria.;;"Neue Briefmarke ""Penny Black"", mit dem Antlitz der jungen Königin Victoria im Vereinigten Königreich im Umlauf.";;Primer sello postal introducido en el Reino Unido, conocido como “Penny Black” o “Penique Negro”, presenta como imagen la efigie de la joven Reina Victoria.;;;;;;;;;x
some_fake_1836_title_6;Out now!;;Jetzt neu!;;¡Ya a la venta!;;;;;;;;;x
some_fake_1836_6;“Dead souls” released in Russia, critics claim it is too difficult.;;“Die Seelen der Toten” aus Russland, Kritiker: zu kompliziert.;;La obra de Nikolái Gógol, “Almas muertas”, ya a la venta en Rusia. La crítica afirma que es “demasiado compleja”.;;;;;;;;;x
some_fake_1836_title_7;Woodwind or Brass?;;Holzbläser oder Blech?;;¿Instrumentos de madera o de latón?;;;;;;;;;x
some_fake_1836_title_8;Gold rush!;;Goldrausch!;;¡La Fiebre del Oro!;;;;;;;;;x
some_fake_1836_8;Gold discovered in California, massive rush of prospectors to the area!;;Gold in Kalifornien entdeckt, Goldsucher überrennen das Land!;;Oro descubierto en California, ola masiva de prospectores rumbo a la zona.;;;;;;;;;x
some_fake_1836_title_9;The Raven' published;;“Der Rabe” veröffentlicht;;“El Cuervo” publicado;;;;;;;;;x
some_fake_1836_9;A grim tour-de-force, Poe’s latest short story is sure to raise the hairs on the back of your neck.;;Eine düstere Glanzleistung, Poes neueste Kurzgeschichte sorgt für Gänsehaut.;;Una siniestra obra maestra, el último relato corto de Poe hará que a cualquier lector se le ericen hasta los pelos de la nuca.;;;;;;;;;x
some_fake_1836_title_10;The bountiful female form;;Die üppige Form der Frau;;La figura perfecta;;;;;;;;;x
some_fake_1836_10;(reader discretion is advised) Female waist and hip sizes are apparently at an all-time minimum and maximum respectively. Continued on page 5;;(Explizite Inhalte) Weibliche Taillen und Hüftgrößen scheinbar so schmal und auch breit wie nie zuvor. Mehr auf Seite 5;;(ATENCIÓN: Contenido explícito) Al parecer ahora la perfecta figura femenina aboga por estrechas cinturas y voluminosas caderas. Continuación en la página 5.;;;;;;;;;x
some_fake_1836_title_11;Editorial;;Redaktionelles;;Editorial informativo:;;;;;;;;;x
some_fake_1836_11;This liberalism will destroy the western civilisation. Without strong government, people are going to starve and revert to barbarism to survive and feed their children. (see pg. 10);;Liberalismus zerstört westliche Zivilisation (mehr auf Seite 10)…;;El liberalismo va a destruir por completo la civilización occidental. Sin un gobierno fuerte, la gente se verá en la miseria y revertirá hacia el barbarismo con tal de sobrevivir. (Ver pág. 10);;;;;;;;;x
some_fake_1850_title_1;Our ancestors?;;Unsere Vorfahren?;;¿Nuestros ancestros?;;;;;;;;;x
some_fake_1850_1;"Scientists amazed by ""Neanderthal man"" fossil discovery in Germany.";;Forscher begeistert in Deutschland entdecktem Neandertaler-Fossil.;;Científicos asombrados ante el descubrimiento del fósil del “Hombre de Neandertal” en Alemania.;;;;;;;;;x
some_fake_1850_title_2;Editorial:;;Redaktionelles:;;Editorial informativo:;;;;;;;;;x
some_fake_1850_2;It is the assured opinion of this newspaper that animal-fat is the perfect substance for greasing bullet-cartridges. See how we reached this unshakable conclusion inside (see pg 10);;Tierfette perfekt für das Einfetten von Patronenhülsen (siehe Seite 10)…;;Es la opinión garantizada de este periódico que la grasa animal es el mejor elemento que se puede usar para engrasar los cartuchos de sus balas. Vea como hemos llegado a esta incuestionable conclusión leyendo el artículo completo. (Ver pág. 10);;;;;;;;;x
some_fake_1850_title_3;Canals in decline;;Kanäle zerfallen;;Canales en declive;;;;;;;;;x
some_fake_1850_3;The once-proud canal system of our nation is seen to be in precipitous decline. What can be done? Continued on page 4;;Einstmals stolzes Kanalsystem unserer Nation zerfällt rapide. Was kann man tun? Weiter auf Seite 4;;El sistema de canales otrora el orgullo de la nación se halla ahora en estrepitoso declive. ¿Qué podemos hacer? Continuación en la página 4.;;;;;;;;;x
some_fake_1860_title_1;Lincoln assassinated;;Anschlag auf Lincoln;;Lincoln asesinado;;;;;;;;;x
some_fake_1860_1;Abraham Lincoln assassinated in Ford’s theatre by John Wilkes Booth, shot dead at close range.;;Abraham Lincoln in Ford's Theatre von John Wilkes Booth ermordet, Todesschuss aus kurzer Distanz.;;Abraham Lincoln asesinado en el Teatro Ford por John Wilkes Booth, de un disparo a bocajarro.;;;;;;;;;x
some_fake_1860_title_2;Lincoln fine;;Lincoln wohlauf;;Lincoln vive;;;;;;;;;x
some_fake_1860_2;Failed assassination attempt of Abraham Lincoln by John Wilkes Booth, President throws assailant from balcony of Ford’s theatre.;;Attentat auf Abraham Lincoln durch John Wilkes Booth fehlgeschlagen, Präsident stößt Attentäter vom Balkon im Ford's Theatre.;;Atentado contra la vida de Abraham Lincoln por John Wilkes Booth fallido, el Presidente tira al asaltante por un balcón del Teatro Ford.;;;;;;;;;x
some_fake_1860_title_3;Unsporting;;Unsportlich;;Anti-deportivo;;;;;;;;;x
some_fake_1860_3;Military Submarine invented, globally agreed to be “unfair” and banned for all time.;;"Militärisches U-Boot erfunden, weltweit als “unfair"" eingestuft und für alle Zeiten verboten.";;Submarino Militar inventado, acordado globalmente como “injusto” y prohibido de por vida.;;;;;;;;;x
some_fake_1860_title_4;Healthcare;;Gesundheitswesen;;Sanidad;;;;;;;;;x
some_fake_1860_4;Florence Nightingale founds school for nurses in St Thomas' Hospital, London.;;Florence Nightingale gründet Schwesternschule am St Thomas' Hospital, London.;;Florence Nightingale funda una escuela de enfermería en el Hospital de St Thomas, Londres.;;;;;;;;;x
some_fake_1860_title_5;Elements organised;;Elemente geordnet;;Elementos organizados;;;;;;;;;x
some_fake_1860_5;Dmitri Mendeleev invents periodic table, listing all 56 known elements.;;Dmitri Mendeleev erfindet Periodensystem, alle 56 Elemente aufgelistet.;;Dmitri Mendeléyev inventa la tabla periódica, listando en ella todos los 56 elementos conocidos.;;;;;;;;;x
some_fake_1860_title_6;Cycle fad spreads;;Rad-Trend nimmt zu;;La moda de los velocípedos;;;;;;;;;x
some_fake_1860_6;Bicycle craze sweeps western world, Velocipedes are must haves!;;Zweirad-Wahn erfasst westl. Welt, Stahlrösser sind ein Muss!;;La fiebre de la bicicleta invade todo el mundo occidental. ¡Ahora los velocípedos son compra obligatoria!;;;;;;;;;x
some_fake_1860_title_7;Sombrero width at an all-time high;;Sombreros breit wie nie;;Sombreros Altos;;;;;;;;;x
some_fake_1860_7;It is reported that the width of an average bandito’s sombrero has risen to an astounding 57 inches in Mexico.;;Laut Meldungen ist die durchschnittl. Sombrero-Breite von Banditen in Mexiko auf unglaubliche 56 Zoll angewachsen.;;La altura media de un Sombrero Bandito ha ascendido hasta la imponente cifra de 145 centímetros en México.;;;;;;;;;x
some_fake_1860_title_8;Fire-brigade' established;;Brandwache eingerichtet;;Bbrigada de bomberos establecida;;;;;;;;;x
some_fake_1860_8;They're new, but they're good. ;;Neu und unglaublich gut.;;Son nuevos, pero son buenos.;;;;;;;;;x
some_fake_1860_title_9;Football gains popularity;;Fußball immer beliebter;;El fútbol gana popularidad;;;;;;;;;x
some_fake_1860_9;Attendances at association football matches have risen recently, with the spectacle proving especially popular amongst members of the labouring and destitute classes. ;;Besucherzahlen im Vereins-Fußballsport wachsen, Spektakel besonders beliebt bei Arbeitern und Erwerbslosen.;;El número de asistentes a los partidos de fútbol locales ha ascendido últimamente, mostrando especial notoriedad entre la clase trabajadora y los indigentes.;;;;;;;;;x
some_fake_1860_title_10;Editorial:;;Redaktionelles:;;Editorial informativo:;;;;;;;;;x
some_fake_1860_10;Beware the female bicycleatrix. Women astride machines, petticoats fluttering carelessly in the breeze, ankles exposed for all to see, will send men into a deranged frenzy ( pg. 10);;Vorsicht vor weiblicher Rad-Amazone (mehr auf Seite 10);;¡Cuidado con la mujer ciclista! Sentada con las piernas abiertas, con la falda revoloteando al viento, con los tobillos a la vista de cualquiera... ¡Los hombres van a enloquecer! (Ver pág. 10);;;;;;;;;x
some_fake_1860_title_11;Pompeii and Herculaneum back to light;;Pompeji und Herculaneum offengelegt;;Pompeya y Herculano renacen de nuevo;;;;;;;;;x
some_fake_1860_11;New methods of excavation return to the world the cities destroyed by Vesuvius in 79 AD.;;Neue Ausgrabungsmethoden bringen die 79 AD vom Vesuv zerstörten Städte der Welt zurück.;;Gracias a nuevos métodos de excavación se han devuelto a la superficie las ciudades destruidas por el Vesuvio en el 79 d.C.;;;;;;;;;x
some_fake_1870_title_1;Editorial:;;Redaktionelles:;;Editorial informativo:;;;;;;;;;x
some_fake_1870_1;The backward African peoples long for our benevolent governance. Much as the Irish graciously welcomed British overlordship, the black race crave the guiding hand of whites (pg. 10);;Rückständige Völker Afrikas ersehnen unsere gütige Führung (mehr auf Seite 10);;Las primitivas gentes africanas agradecen nuestro benevolente gobierno. Al igual que los irlandeses aceptaron grácilmente el mandato británico, la raza negra acepta la guía de la mano blanca. (Ver pág. 10);;;;;;;;;x
some_fake_1870_title_2;Literature:;;Literatur:;;Literatura:;;;;;;;;;x
some_fake_1870_2;Around the World in 80 days, reviewed for the reader's pleasure and education.;;Um die Welt in 80 Tagen, für Lesespaß und Bildung unserer Leser rezensiert.;;“Vuelta al Mundo en 80 Días”, analizada para el placer y gusto del lector.;;;;;;;;;x
some_fake_1870_title_3;Corset-related fainting;;Ohnmacht durch Korsett;;Culpa del corsé;;;;;;;;;x
