DIPLOMACY_CHANCE_JOIN_WAR;Likelyhood of joining the war: §Y$VAL$§W;Probabilité de rejoindre : §Y$VAL$§W;Wahrscheinlichkeit des Kriegseintritts: §Y$VAL$§W;;Probabilidad de que se incorpore a la guerra: §Y$VAL$§W;;;;;;;;;x
PO_ISBETTER;If we refuse this offer we will suffer the following:\n §R+$MIL$§W Militancy, §R+$WE$§W War exhaustion;Si nous refusons cette offre, nous subirons ce qui suit :\n §R+$MIL$§W de militantisme, §R+$WE$§W d’épuisement de guerre;Wenn wir dieses Angebot ablehnen, werden wird das folgende Konsequenzen haben:\n §R+$MIL$§W Militanz, §R+$WE$§W Kriegsmüdigkeit;;Si rechazamos la oferta sufriremos lo siguiente:\n §R+$MIL$§W de militancia, §R+$WE$§W de agotamiento bélico;;;;;;;;;x
leave_soi_title;Leave Sphere of Influence;Quitter la sphère d’influence;Einflusssphäre verlassen;;Abandonar esfera de influencia;;;;;;;;;x
leave_soi_desc;We can leave this Sphere of Influence, however our former master may well declare war to stop us.;Nous pouvons quitter cette sphère d’influence, mais notre ancien maître risque de nous déclarer la guerre pour nous arrêter.;Wir können diese Einflusssphäre verlassen, aber unser früherer Herr könnte uns den Krieg erklären, um uns daran zu hindern.;;Podemos abandonar esta esfera de influencia, pero nuestro antiguo señor podría declararnos la guerra.;;;;;;;;;x
NEW_PARTY_AVAIL_SETUP;New political party;Nouveau parti politique;Neue politische Partei;;Nuevo partido político;;;;;;;;;x
NEW_PARTY_AVAIL_HEADER;New political party formed;Nouveau parti politique formé;Neue politische Partei gegründet;;Se ha formado un nuevo partido político;;;;;;;;;x
NEW_PARTY_AVAIL_1;$PARTY$ has been formed;$PARTY$ a été formé;$PARTY$ wurde soeben gegründet;;Se ha formado un partido: $PARTY$;;;;;;;;;x
NEW_PARTY_AVAIL_2;*;*;*;*;*;*;*;;;;;;;x
NEW_PARTY_AVAIL_3;*;*;*;*;*;*;*;;;;;;;x
NEW_PARTY_AVAIL_4;*;*;*;*;*;*;*;;;;;;;x
NEW_PARTY_AVAIL_5;*;*;*;*;*;*;*;;;;;;;x
NEW_PARTY_AVAIL_6;*;*;*;*;*;*;*;;;;;;;x
NEW_PARTY_AVAIL_BTN1;OK;D'accord;OK;OK;Aceptar;;;;;;;;;x
NEW_PARTY_AVAIL_BTN2;OK;D'accord;OK;OK;Aceptar;;;;;;;;;x
NEW_PARTY_AVAIL_BTN3;Go to;Voir;Goto;;Ir allí;;;;;;;;;x
NEW_PARTY_AVAIL_LOG;New political party;Nouveau parti politique;Neue Partei gegründet: $PARTY$.;;Nuevo partido político;;;;;;;;;x
PARTY_UNAVAIL_SETUP;Political party defunct;Parti politique dissous;Partei aufgelöst;;Partido político desaparecido;;;;;;;;;x
PARTY_UNAVAIL_HEADER;Political party defunct;Parti politique dissous;Partei aufgelöst;;Partido político desaparecido;;;;;;;;;x
PARTY_UNAVAIL_1;$PARTY$ is now defunct;$PARTY$ est à présent dissous;$PARTY$ wurde aufgelöst;;Ha desaparecido un partido político: $PARTY$;;;;;;;;;x
PARTY_UNAVAIL_2;*;*;*;*;*;*;*;;;;;;;x
PARTY_UNAVAIL_3;*;*;*;*;*;*;*;;;;;;;x
PARTY_UNAVAIL_4;*;*;*;*;*;*;*;;;;;;;x
PARTY_UNAVAIL_5;*;*;*;*;*;*;*;;;;;;;x
PARTY_UNAVAIL_6;*;*;*;*;*;*;*;;;;;;;x
PARTY_UNAVAIL_BTN1;OK;D'accord;OK;OK;Aceptar;;;;;;;;;x
PARTY_UNAVAIL_BTN2;OK;D'accord;OK;OK;Aceptar;;;;;;;;;x
PARTY_UNAVAIL_BTN3;Go to;Voir;Goto;;Ir allí;;;;;;;;;x
PARTY_UNAVAIL_LOG;Political party now unavailable;Parti politique désormais indisponible;Die Partei §Y$PARTY$§W wurde aufgelöst und existiert nicht länger.;;Ha desaparecido un partido político;;;;;;;;;x
PRODUCTION_FACTORY_DAYSRED_TOOLTIP;Days of insolvency: §R$DAYS$§W;Jour d’insolvabilité : §R$DAYS$§W;Tage mit Verlusten: §R$DAYS$§W;;Días de insolvencia: §R$DAYS$§W;;;;;;;;;x
EXPENSE_NO_AFFORD;We can only afford to pay §R$VAL$§W¤ of our expenses!;Nous ne pouvons nous acquitter que de §R$VAL$§W¤de nos dépenses !;Wir können nur §R$VAL$§W¤ unserer Ausgaben zahlen!;;¡Solo podemos pagar el §R$VAL$§W¤ de nuestros gastos!;;;;;;;;;x
PRODUCTION_FACTORY_DAYSRED_TOOLTIP;Days of insolvency: §R$DAYS$§W;Jours d’insolvabilité : §R$DAYS$§W;Insolvenztage: §R$DAYS$§W;;Días de insolvencia: §R$DAYS$§W;;;;;;;;;x
ENG_presidential_dictatorship;Great Britain;Grande-Bretagne;Großbritannien;;Gran Britania;;;;;;;;x;
EVTNAME16451;Raiding the garrisons;Attaque des garnisons;Überfall auf Garnisonen;;Asalto contra las guarniciones;;;;;;;;;x
EVTDESC16451;During the early days of the Texan Revolution, Texan troops were able to overrun several Mexican garrisons. This provided the Texan army with much needed money and supplies.;Aux premiers jours de la Révolution texane, les troupes du Texas ont réussi à renverser plusieurs garnisons mexicaines permettant ainsi à leur armée de disposer des fonds et ravitaillements nécessaires.;Während der ersten Tage der texanischen Revolution konnten texanische Truppen mehrere mexikanische Garnisonen überrennen. Dies brachte der texanischen Armee stark benötigte Gelder und Nachschubmaterial ein.;;Durante los primeros días de la Revolución Texana, las tropas de Texas pudieron destruir varias guarniciones mexicanas. Gracias a esto, el ejército texano obtuvo unos fondos y pertrechos de los que estaba muy necesitado.;;;;;;;x;;
CB_ALLOWED_GUNBOAT;Force Debt Repayment;Forcer le remboursement de la dette;Schuldentilgung erzwingen;;Forzar pago de deuda;;;;;;;;x;
po_gunboat;Repay Debts.;Rembourser les dettes;Schulden tilgen.;;Pagar deudas.;;;;;;;;x;
IS_IN_DEFAULT_TO;Is in Default to;Est débiteur de;ist im Zahlungsrückstand gegenüber;;Está en situación de incumplimiento de pagos con;;;;;;;;x;
IS_NOT_IN_DEFAULT_TO;Is not in Default to;N’est pas débiteur de;ist nicht im Zahlungsrückstand gegenüber;;No está en situación de incumplimiento de pagos con;;;;;;;;x;
gunboat;Repay Debts;Rembourser les dettes;Schulden tilgen;;Pagar deudas;;;;;;;;x;
gunboat_desc;Force them to resume repayment of their debts to us.;Les forcer à reprendre le remboursement des dettes contractées envers nous.;Sie zwingen, ihre Schuldenrückzahlungen weiterzuführen.;;Obligarlos a reanudar el pago de sus deudas con nosotros.;;;;;;;;x;
gunboat_setup;Will force them to honor their debts to us.;Nous les forceront à honorer les dettes contractées envers nous.;Werden sie zwingen, uns ihre Schulden zurückzuzahlen.;;Los obligará a hacer frente a sus deudas con nosotros.;;;;;;;;x;
gunboat_short;Repay Debts;Rembourser les dettes;Schulden tilgen;;Pagar deudas;;;;;;;;x;
EVTNAME70002;$FROMCOUNTRY$ goes bankrupt!;$FROMCOUNTRY$ a fait faillite !;$FROMCOUNTRY$ ist bankrott!;;¡$FROMCOUNTRY$ está en bancarrota!;;;;;;;;x;
EVTDESC70002;$FROMCOUNTRY$ has gone bankrupt and claims that they owe us nothing! We must use our military might to safeguard our investors.;\n$FROMCOUNTRY$ a fait faillite et ils crient haut et fort qu’ils ne nous doivent rien !\nIl nous faut recourir à notre puissance militaire pour protéger nos investisseurs.;$FROMCOUNTRY$ ist bankrott und behauptet, sie schulden uns nichts! Wir müssen unsere Investoren mit unserer Militärmacht schützen.;;¡$FROMCOUNTRY$ ha declarado la bancarrota y afirma que no nos debe nada! Debemos usar nuestras fuerzas armadas para proteger los intereses de nuestros inversores.;;;;;;;;x;
EVTOPTA70002;OK;Ils vont voir qui nous sommes;OK;;Aceptar;;;;;;;;x;
USE_LEADER;Use leader;Utiliser cet officier;Anführer verwenden;;Usar líder;;;;;;;;x;
SHORTCUT;§WShortcut: §Y;§WRaccourci : §Y;§WTastenkürzel: §Y;;§WAtajo: §Y;;;;;;;;;x
SM_SHORTCUT;Shortcut tooltip;Raccourci infobulle;Tastenkürzel Tooltipp;;Recuadro de texto de atajo;;;;;;;;x;
TUR_proletarian_dictatorship_ADJ;Turkish;Turc;Türkisch;;Turca;;;;;;;;;x
move_capital_to_moscow_title;Return to the Third Rome;Retourner à la Troisième Rome;Zurück zum Dritten Rom;;Volver a la tercera Roma;;;;;;;;x;
move_capital_to_moscow_desc;Nyenschantz, is uncomfortably close to the border. Perhaps it would be prudent to move our capital back to Moscow, the Pervoprestolnaya', which invading armies might find harder to reach...';La glorieuse Saint-Pétersbourg, ville de Pierre le Grand, est inconfortablement proche de la frontière. Il serait peut-être plus prudent de retransférer notre capitale à Moscou, la « Pervoprestolnaya », que les armées d’invasion auront plus de mal à rejoindre...;Das famose St. Petersburg, Stadt Peter des Großen, liegt unangenehm nah an der Grenze. Vielleicht wäre es sinnvoll, unsere Hauptstadt zurück nach Moskau, der 'Perwoprestolnaja', zu verlegen, das für einfallende Armeen schwerer zu erreichen ist ...;;La gloriosa Nyenschantz, está incómodamente cerca de la frontera. Puede que sea prudente trasladar de nuevo la capital a Moscú, la 'Pervoprestolnaya', mucho más difícil de alcanzar para los ejércitos enemigos...;;;;;;;;x;
nationalsyndicalist_desc;National Syndicalism proposes a totalitarian system that encompasses all agents of production, workers and employers alike in a single corporatist union structure. As well as a nationalization of banking and public services.;;;;El Nacionalsindicalismo propone un sistema totalitario que englobe a todos los agentes de la producción, trabajadores y patronos por igual en una única estructura sindical corporativista. Así como una nacionalización de la banca y los servicios públicos.;;;;;;;;;x
nationalsyndicalist_dictatorship_desc;National Syndicalism proposes a totalitarian system that encompasses all agents of production, workers and employers alike in a single corporatist union structure. As well as a nationalization of banking and public services.;;;;El Nacionalsindicalismo propone un sistema totalitario que englobe a todos los agentes de la producción, trabajadores y patronos por igual en una única estructura sindical corporativista. Así como una nacionalización de la banca y los servicios públicos.;;;;;;;;;x
nationalsyndicalist_rebels_title;Blue Shirts;Blue Shirts;Blue Shirts;Blue Shirts;Camisas Azules;;;;;;;;;x
nationalsyndicalist_rebels_name;Blue Shirts;Blue Shirts;Blue Shirts;Blue Shirts;Camisas Azules;;;;;;;;;x
nationalsyndicalist_rebels_desc;The Blue Shirts are revolutionaries driven by the new ideology of national syndicalism. These hardened revolutionaries, working under the dogmas of violence and syndicalist mass action, will stop at nothing to overthrow both the old monarchies and the new democracies and replace them with the totalitarian, nationalist and syndicalist concepts of the ideology.;The Blue Shirts are revolutionaries driven by the new ideology of national syndicalism. These hardened revolutionaries, working under the dogmas of violence and syndicalist mass action, will stop at nothing to overthrow both the old monarchies and the new democracies and replace them with the totalitarian, nationalist and syndicalist concepts of the ideology.;The Blue Shirts are revolutionaries driven by the new ideology of national syndicalism. These hardened revolutionaries, working under the dogmas of violence and syndicalist mass action, will stop at nothing to overthrow both the old monarchies and the new democracies and replace them with the totalitarian, nationalist and syndicalist concepts of the ideology.;The Blue Shirts are revolutionaries driven by the new ideology of national syndicalism. These hardened revolutionaries, working under the dogmas of violence and syndicalist mass action, will stop at nothing to overthrow both the old monarchies and the new democracies and replace them with the totalitarian, nationalist and syndicalist concepts of the ideology.;Los Camisas Azules son revolucionarios impulsados por la nueva ideología del nacionalsindicalismo. Estos curtidos revolucionarios, que trabajan bajo los dogmas de la violencia y la acción en masa sindical, no se detendrán ante nada para derribar tanto las viejas monarquías como las nuevas democracias y reemplazarlas con los conceptos totalitarios, nacionalistas y sindicalistas de la ideología.;;;;;;;;;x
nationalsyndicalist_rebels_army;Nationalsyndicalists;Nationalsyndicalists;Nationalsyndicalists;Nationalsyndicalists;Nacionalsindicalistas;;;;;;;;;x
agrarist_rebels_title;Agrarists;Agrarists;Agrarists;Agrarists;Agraristas;;;;;;;;;x
agrarist_rebels_name;Green Movement;Movimiento Verde;Movimiento Verde;Movimiento Verde;Movimiento Verde;;;;;;;;;x
agrarist_rebels_desc;Agrarists are closely related to the principles of Luddism. They reject industrialization, consider that machines will destroy employment and propose a return to manual labor. Closing all existing factories.;;;;Los agraristas están cercanamente relacionados con los principios del ludismo. Rechazan la industrialización, consideran que las máquinas destruirán el empleo y proponer regresar al trabajo manual. Cerrando todas las fábricas existentes.;;;;;;;;;x
agrarist_rebels_army;Agrarists;Agrarists;Agrarists;Agrarists;Agraristas;;;;;;;;;x
agrarism_rebels_name;Green Movement;Movimiento Verde;Movimiento Verde;Movimiento Verde;Movimiento Verde;;;;;;;;;x
theocratic_rebels_title;Theocratic;Theocratics;Theocratics;Theocratics;Teocrático;;;;;;;;;x
theocratic_rebels_name;Soldiers of God;Soldiers of God;Soldiers of God;Soldiers of God;Soldados de Dios;;;;;;;;;x
theocratic_rebels_desc;Theocratic maintain a strong degree of conservatism or political reactionaryism. Wanting religion to be the guiding light in all matters of state.;;;;Los partidos teocráticos mantienen un fuerte grado de conservadurismo o reaccionarismo político. Queriendo que la religión sea la luz que guie todos los temas del estado.;;;;;;;;;x
theocratic_rebels_army;Theocratics;Theocratics;Theocratics;Theocratics;Teocráticos;;;;;;;;;x
theocracy_rebels_title;Theocratic;Theocratics;Theocratics;Theocratics;Teocrático;;;;;;;;;x
theocracy_rebels_name;Soldiers of God;Soldiers of God;Soldiers of God;Soldiers of God;Soldados de Dios;;;;;;;;;x
theocracy_rebels_desc;Theocratic maintain a strong degree of conservatism or political reactionaryism. Wanting religion to be the guiding light in all matters of state.;;;;Los partidos teocráticos mantienen un fuerte grado de conservadurismo o reaccionarismo político. Queriendo que la religión sea la luz que guie todos los temas del estado.;;;;;;;;;x
theocracy_rebels_army;Theocratics;Theocratics;Theocratics;Theocratics;Teocráticos;;;;;;;;;x
agrarist_rebels;Green Movement;Movimiento Verde;Movimiento Verde;Movimiento Verde;Movimiento Verde;;;;;;;;;x
nationalsyndicalist_rebels;Nationalsyndicalists;Nationalsyndicalists;Nationalsyndicalists;Nationalsyndicalists;Nacionalsindicalistas;;;;;;;;;x
agrarism_rebels;Agrarists;Agrarists;Agrarists;Agrarists;Agraristas;;;;;;;;;x
theocracy_ruler;Supreme Leader;Supreme Leader;Supreme Leader;Supreme Leader;Lider Supremo;;;;;;;;;x
agrarist_ruler;Communal Leader;Communal Leader;Communal Leader;Communal Leader;Lider Comunal;;;;;;;;;x
nationalsyndicalist_dictatorship_ruler;Generalisimo;Generalisimo;Generalisimo;Generalisimo;Generalisimo;;;;;;;;;x
agrarism_rebels_title;Green Movement;Movimiento Verde;Movimiento Verde;Movimiento Verde;Movimiento Verde;;;;;;;;;x
agrarism_rebels_name;Green Movement;Movimiento Verde;Movimiento Verde;Movimiento Verde;Movimiento Verde;;;;;;;;;x
agrarism_rebels_desc;Agrarists are closely related to the principles of Luddism. They reject industrialization, consider that machines will destroy employment and propose a return to manual labor. Closing all existing factories.;;;;Los agraristas están cercanamente relacionados con los principios del ludismo. Rechazan la industrialización, consideran que las máquinas destruirán el empleo y proponer regresar al trabajo manual. Cerrando todas las fábricas existentes.;;;;;;;;;x
agrarism_rebels_army;Green Movement;Movimiento Verde;Movimiento Verde;Movimiento Verde;Movimiento Verde;;;;;;;;;x
