Culture;Culture;;;;Cultura;;;;;;;;;
SELL;SELL;VENDRE;VERKAUFE;;VENDER;;;;;;;;;x
BUY;BUY;ACHETER;KAUFE;;COMPRAR;;;;;;;;;x
Start Research;Start Research;Commencer la recherche;Beginne Forschung;;Iniciar Investigación;;;;;;;;;x
Maneuver;Maneuver;Manœuvre;Manöver;;Maniobra;;;;;;;;;x
LEDGER;LEDGER;STATISTIQUES;Statistiken;;LIBRO MAYOR;;;;;;;;;x
OK;OK;D'accord;OK;;Aceptar;;;;;;;;;x
TOPBAR_POPULATION;Our adult male population is $CURR$. Our adult male population has changed by $CHANGE$ in last §Y$DAYS$§! days.;Notre population masculine adulte s'élève à $CURR$.\nNotre population masculine a évolué de $CHANGE$ adultes ces §Y$DAYS$§! derniers jours.;Unsere erwachsene männliche Bevölkerung beträgt $CURR$. Unsere erwachsene männliche Bevölkerung hat sich um $CHANGE$ in den letzten §y$DAYS$§! Tagen geändert.;;Nuestra población masculina adulta es de $CURR$. Nuestra población masculina adulta ha cambiado en $CURR$ en la últimos §Y$DAYS$§! días.;;;;;;;;;x
DIG_IN_TOOLTIP_1;Current dig-in level: $LEV$/$MAX$.;Niveau de retranchement actuel : $LEV$/$MAX$.;Aktueller Verschanzungsbonus: $LEV$/$MAX$.;;Nivel actual de investigación: $LEV$/$MAX$.;;;;;;;;;x
DIG_IN_TOOLTIP_2;It takes §Y$DAYS$§! days to increase dig-in level by §G+$VAL$§!.;Il faut §Y$DAYS$§! jours pour augmenter le niveau de retranchement de §G+$VAL$§! .;Es dauert §Y$DAYS$§! Tage um den Verschanzungsbonus um §G+$VAL$§! zu erhöhen.;;Se necesitan §Y$DAYS$§! días para incrementar el nivel de investigación en §G+$VAL$§!.;;;;;;;;;x
in_bankrupcy;In bankruptcy;En faillite;In Insolvenz;;En bancarrota;;;;;;;;;x
in_bankrupcy_desc;We are bankrupt!;Nous sommes en faillite !;Wir sind zahlungsunfähig!;;¡Estamos en bancarrota!;;;;;;;;;x
